DisputeStage,DisputeStatus,DisputeId,DueDate,ReasonCategory,DisputeTime,ReasonCode,ChargebackTxnAmount,MerchantUserId,TransactionChannel,CardType,TransactionTime,ChargebackAmount,ChargebackTxnCurrency,ReasonMsg,RefundPayType,WinRate,ARN,CardScheme,CardNumberMasked,CardBIN,CardFundingType,IssuerName,IssuerCountry,NetworkReasonCode,ChargebackReceivedDate,ChargebackCaseRef,RepresentmentDeadline,IsSecondPresentment,ProcessorName,AcquirerName,AcquirerMID,PaymentTransactionId,PspReferenceId,AuthorizationCode,PaymentMethod,TransactionAmount,TransactionCurrency,TransactionStatus,SettlementDate,AvsResult,CvvResult,ThreeDSStatus,ThreeDSLiabilityShift,DeviceIp,DeviceType,RefundIssued,RefundAmount,RefundDate,OrderId,OrderDate,ProductName,ProductCategory,Sku,Quantity,UnitPrice,OrderTotalAmount,OrderCurrency,OrderStatus,DeliveryStatus,ShippingCarrier,TrackingNumber,ShipDate,EstimatedDeliveryDate,ActualDeliveryDate,ProofOfDelivery,DeliverySignedBy,DeliveryAddressLine1,DeliveryCity,DeliveryState,DeliveryPostalCode,DeliveryCountry,BillingShippingMatch,UserId,UserFullName,UserEmail,UserPhone,AccountCreatedDate,KycVerified,AccountStatus,TotalOrdersLifetime,TotalSpendLifetime,AvgOrderValue,LastOrderId,LastOrderDate,PreviousChargebackCount,PreviousChargebacksWon,DisputeRatePct,CustomerRiskTier,CaseOutcome,OutcomeDate
CB,NEED_RESPONSE,65jkhhdsfhsweriu3,2026-07-20 00:00:00,authorization,2026-06-10 20:46:25,Other,26.65,7665434528917652399,Ahjkoiywebkbmxiykjsdfskjdhfsj,VISA,2026-07-03T22:53:49Z,15.36,USD,Merchandise/Services Not Received,"OriginalRefund, RefundToCredit, RefundToAnotherPlatformAccount",0.0015,40824008427109477752047,Visa,465771XXXXXX6419,465771,Credit,Bank Mandiri,NG,Other,2026-06-10,CBK-2026-200010,2026-07-20 00:00:00,Yes,Cybersource,Chase Paymentech,MID628008852,TXN-20260703-19943140,BRT854322725516,156213,Card - Ecom,26.65,USD,Captured,2026-07-06,A - Address Only,M - Match,Y - Authenticated,Yes,74.60.213.156,Android App,Yes,26.65,2026-06-13,ORD-202607-100073,2026-07-03 22:22:49,Robot Vacuum Cleaner,Home & Kitchen,HNK-9561-RED,3,8.88,26.65,USD,Under Investigation,In Transit,Blue Dart,BD7858164010,2026-07-04,2026-07-13,,No,N/A,18 Admiralty Way,"Lekki, Lagos",Lagos,106104,NG,No,7665434528917652399,Michael Nakamura,michael.nakamura@outlook.com,+234419280490,2025-02-16,No,Active,8,1879.92,234.99,ORD-202604-696251,2026-04-25,0,0,0,Low,Decision Pending,
CB,NEED_RESPONSE,63jhkdsawuieyj7,2026-07-21 00:00:00,processing,2026-06-10 20:46:28,C31,26.49,7665434528917652400,Ahjsgfskjaksldwuleurhjhjdhfsj,MASTERCARD,2026-07-01T18:01:47Z,46.9,NGN,Not as Described or Defective Merchandise/Services,"RefundToCredit, OriginalRefund",0.0039,93618324210249947174648,Mastercard,589905XXXXXX2625,589905,Prepaid,HSBC,US,C31,2026-06-10,CBK-2026-200011,2026-07-21 00:00:00,Yes,Adyen,Adyen N.V.,MID186373782,TXN-20260701-90267122,ADY576266444796,870214,Card - Recurring,26.49,NGN,Captured,2026-07-02,Y - Full Match,M - Match,Y - Authenticated,Yes,183.10.137.148,iOS App,Yes,26.49,2026-06-11,ORD-202607-100079,2026-07-01 16:32:47,Leather Sneakers,Footwear,FTW-3870-RED,3,8.83,26.49,NGN,Completed,Delivered,GIG Logistics,BD2250949136,2026-07-02,2026-07-06,2026-07-05,Yes - OTP Confirmed,N/A,742 Evergreen Terrace,Springfield,IL,62704,US,No,7665434528917652400,Michael Okafor,michael.okafor@yahoo.com,+1398668350,2025-01-26,Yes,Under Review,12,2200.32,183.36,ORD-202604-557058,2026-04-03,0,0,0,Low,Decision Pending,
CB,NEED_RESPONSE,h5yiulkkas23483,2026-07-22 00:00:00,fraud,2026-06-11 09:41:37,3000,130,7665434528917652401,Ahjkoiywebkbmxiykjsdfskjdhfsj,KLARNA,2026-06-20T13:59:00Z,446.38,IDR,Misrepresentation,OriginalRefund,0.0031,87603859770348247710932,Klarna (BNPL),N/A,N/A,N/A,Klarna Bank AB,US,3000,2026-06-11,CBK-2026-200012,2026-07-22 00:00:00,No,Nuvei,Nuvei Corporation,MID691458887,TXN-20260620-11835355,BRT200536554489,335615,BNPL,130,IDR,Captured,2026-06-22,Y - Full Match,M - Match,A - Attempted,No,138.149.139.107,Mobile Web,Yes,130,2026-06-12,ORD-202606-100089,2026-06-20 13:06:00,4K Action Camera,Electronics,ELC-8736-WHT,2,65,130,IDR,Completed,Delivered,Aramex,BD3362646960,2026-06-22,2026-06-24,2026-06-23,Yes - Photo,N/A,"55 Water Street, Floor 9",New York,NY,10041,US,No,7665434528917652401,Ngozi Brown,ngozi.brown@outlook.com,+1691916368,2022-08-18,Yes,Suspended,7,1936.27,276.61,ORD-202606-299869,2026-06-10,0,0,0,Low,Decision Pending,
RFI,NEED_RESPONSE,viosdyui6890wek4,2026-07-23 00:00:00,others,2026-06-11 20:46:22,WM,135.9,7665434528917652402,Ahjsgfskjaksldwuleurhjhjdhfsj,AMEX,2026-07-02T21:09:19Z,21.65,USD,Duplicate Processing,<UNSET>,0.0007,96360576627028951718702,American Express,345526XXXXX7798,345526,Debit,Chase Bank,US,WM,2026-06-11,CBK-2026-200013,2026-07-23 00:00:00,No,Checkout.com,Checkout Ltd,MID604111692,TXN-20260702-45570755,CKO862886090135,516791,Card - Ecom,135.9,USD,Captured,2026-07-05,N - No Match,N - No Match,Y - Authenticated,Yes,171.249.18.159,iOS App,No,0,,ORD-202607-100097,2026-07-02 20:43:19,Air Fryer 5L,Home & Kitchen,HNK-4846-BLU,2,67.95,135.9,USD,Completed,Delivered,GIG Logistics,BD6777263354,2026-07-05,2026-07-11,2026-07-10,Yes - Photo,N/A,"1600 Amphitheatre Pkwy, Unit 3",Mountain View,CA,94043,US,Yes,7665434528917652402,Arjun Nakamura,arjun.nakamura@outlook.com,+1901834280,2023-02-16,Yes,Suspended,38,12147.46,319.67,ORD-202604-203225,2026-04-10,1,0,2.63,Medium,Decision Pending,
CB,NEED_RESPONSE,kmgjdshoiwer8794,2026-07-24 00:00:00,merchandise,2026-06-12 20:46:25,WH,10.46,7665434528917652403,Ahjkoiywebkbmxiykjsdfskjdhfsj,DISCOVER,2026-06-26T14:57:32Z,47.23,NGN,Incorrect Amount,RefundToCredit,0.004,47407482175946474367136,Discover,601166XXXXXX3725,601166,Prepaid,Guaranty Trust Bank,ID,WH,2026-06-12,CBK-2026-200014,2026-07-24 00:00:00,No,Stripe,Wells Fargo Bank N.A.,MID850845198,TXN-20260626-49625201,ADY536618772435,387813,Card - Ecom,10.46,NGN,Captured,2026-06-29,N - No Match,N - No Match,A - Attempted,No,209.117.180.57,Android App,Yes,10.46,2026-06-14,ORD-202606-100102,2026-06-26 14:26:32,Stainless Steel Cookware Set,Home & Kitchen,HNK-5106-WHT,1,10.46,10.46,NGN,Completed,Delivered,UPS,FX1751917162,2026-06-29,2026-07-04,2026-07-04,Yes - Photo,N/A,"Jl. Sudirman No. 45, Apt 12B",Jakarta Selatan,DKI Jakarta,12190,ID,Yes,7665434528917652403,Rahul Patel,rahul.patel@outlook.com,+62773728014,2024-05-23,Yes,Active,24,3512.64,146.36,ORD-202512-926918,2025-12-30,0,0,0,Low,Won,2026-06-26
CB,NEED_RESPONSE,Agysjdkfshjdwewuier234986,2026-07-25 00:00:00,authorization,2026-06-13 20:46:28,4868,22.04,7665434528917652404,Ahjsgfskjaksldwuleurhjhjdhfsj,VISA,2026-06-28T23:20:14Z,33.78,IDR,Duplicate,"OriginalRefund, RefundToCredit",0.0035,68516048175496513709859,Visa,414373XXXXXX6977,414373,Credit,Bank Mandiri,US,4868,2026-06-13,CBK-2026-200015,2026-07-25 00:00:00,Yes,Nuvei,Nuvei Corporation,MID852775879,TXN-20260628-50559278,WLP250824974697,147549,Card - Ecom,22.04,IDR,Captured,2026-06-30,Y - Full Match,M - Match,Y - Authenticated,Yes,71.69.198.117,Desktop Web,Yes,22.04,2026-06-15,ORD-202606-100111,2026-06-28 22:50:14,Standing Desk Converter,Furniture,FUR-9850-RED,1,22.04,22.04,IDR,Completed,Delivered,Aramex,FX8758809005,2026-07-01,2026-07-05,2026-07-05,Yes - Photo,N/A,"1600 Amphitheatre Pkwy, Unit 3",Mountain View,CA,94043,US,Yes,7665434528917652404,Rahul Kumar,rahul.kumar@yahoo.com,+1545478870,2025-04-13,Yes,Suspended,9,2294.01,254.89,ORD-202512-745558,2025-12-09,3,2,33.33,High,Decision Pending,
PRE_ARB,NEED_RESPONSE,65jkhhdsfhsweriu4,2026-07-26 00:00:00,processing,2026-06-10 09:41:37,55,12.88,7665434528917652405,Ahjkoiywebkbmxiykjsdfskjdhfsj,MASTERCARD,2026-06-23T05:36:02Z,49.09,USD,Other Fraud - Card- Absent Environment,"OriginalRefund, RefundToCredit, RefundToAnotherPlatformAccount",0.006,32931839335290422842102,Mastercard,546666XXXXXX1536,546666,Credit,Guaranty Trust Bank,NG,55,2026-06-10,CBK-2026-200016,2026-07-26 00:00:00,No,PayU,PayU Payments Pvt Ltd,MID732276010,TXN-20260623-53455870,ADY388511190574,154944,Card - Ecom,12.88,USD,Settled,2026-06-26,Y - Full Match,M - Match,Y - Authenticated,Yes,132.229.185.132,iOS App,Yes,12.88,2026-06-15,ORD-202606-100113,2026-06-23 05:32:02,Robot Vacuum Cleaner,Home & Kitchen,HNK-8405-GRY,1,12.88,12.88,USD,Completed,Delivered,DHL Express,BD2184901787,2026-06-24,2026-06-29,2026-06-29,Yes - OTP Confirmed,N/A,18 Admiralty Way,"Lekki, Lagos",Lagos,106104,NG,Yes,7665434528917652405,Wayan Williams,wayan.williams@outlook.com,+234760465943,2025-11-02,Yes,Under Review,44,5589.76,127.04,ORD-202603-416282,2026-03-16,3,2,6.82,High,Not Fought,2026-07-02
PRE_ARB,NEED_RESPONSE,63jhkdsawuieyj8,2026-07-27 00:00:00,fraud,2026-06-10 20:46:22,Return,29.01,7665434528917652406,Ahjsgfskjaksldwuleurhjhjdhfsj,KLARNA,2026-07-03T18:26:50Z,10.22,NGN,Not as described,"RefundToCredit, OriginalRefund",0.0081,96118367365766156545271,Klarna (BNPL),N/A,N/A,N/A,Klarna Bank AB,NG,Return,2026-06-10,CBK-2026-200017,2026-07-27 00:00:00,No,Nuvei,Nuvei Corporation,MID993108266,TXN-20260703-21457410,ADY204934110625,880758,BNPL,29.01,NGN,Captured,2026-07-04,Y - Full Match,N - No Match,N - Not Authenticated,No,182.62.210.91,Mobile Web,Yes,29.01,2026-06-15,ORD-202607-100123,2026-07-03 17:47:50,Wireless Noise-Cancelling Headphones,Electronics,ELC-1842-BLU,1,29.01,29.01,NGN,Completed,Delivered,J&T Express,FX1282103057,2026-07-05,2026-07-11,2026-07-10,Yes - Photo,N/A,18 Admiralty Way,"Lekki, Lagos",Lagos,106104,NG,Yes,7665434528917652406,Tunde Kumar,tunde.kumar@gmail.com,+234477577220,2023-09-03,Yes,Under Review,46,13453.16,292.46,ORD-202601-632060,2026-01-31,0,0,0,Low,Decision Pending,
PRE_ARB,NEED_RESPONSE,h5yiulkkas23484,2026-07-28 00:00:00,others,2026-06-10 20:46:25,Goods not received,70.98,7665434528917652407,Ahjkoiywebkbmxiykjsdfskjdhfsj,AMEX,2026-07-06T12:03:36Z,365.94,IDR,Item not received,OriginalRefund,0.0058,61201836675254599102290,American Express,348900XXXXX4674,348900,Prepaid,Bank Mandiri,NG,Goods not received,2026-06-10,CBK-2026-200018,2026-07-28 00:00:00,No,Worldpay,Worldpay Inc.,MID575788930,TXN-20260706-98843907,WLP767805832031,563516,Card - Wallet Token,70.98,IDR,Captured,2026-07-07,Y - Full Match,N - No Match,Y - Authenticated,Yes,121.56.145.174,Mobile Web,Yes,70.98,2026-06-11,ORD-202607-100128,2026-07-06 11:38:36,Ergonomic Office Chair,Furniture,FUR-9633-BLU,1,70.98,70.98,IDR,Completed,Delivered,DHL Express,UP1124352982,2026-07-08,2026-07-15,2026-07-14,Yes - Photo,N/A,"12 Awolowo Road, Ikoyi",Lagos,Lagos,101233,NG,Yes,7665434528917652407,Ananya Adeyemi,ananya.adeyemi@outlook.com,+234336779871,2023-03-19,No,Under Review,15,3918,261.2,ORD-202601-157443,2026-01-16,2,2,13.33,High,Won,2026-07-04
PRE_ARB,NEED_RESPONSE,viosdyui6890wek5,2026-07-29 00:00:00,merchandise,2026-06-10 20:46:28,C28,67.14,7665434528917652408,Ahjsgfskjaksldwuleurhjhjdhfsj,DISCOVER,2026-06-18T17:51:26Z,137.53,USD,Unauthorized - ATO,<UNSET>,0.0036,69664160529751613696816,Discover,601136XXXXXX5938,601136,Debit,Guaranty Trust Bank,US,C28,2026-06-10,CBK-2026-200019,2026-07-29 00:00:00,No,Adyen,Adyen N.V.,MID457629711,TXN-20260618-32566390,ADY797977210972,219565,Card - Ecom,67.14,USD,Captured,2026-06-20,Z - Zip Only,M - Match,Y - Authenticated,Yes,37.74.131.51,Android App,No,0,,ORD-202606-100136,2026-06-18 17:40:26,Leather Sneakers,Footwear,FTW-3504-BLK,1,67.14,67.14,USD,Completed,Delivered,Blue Dart,UP5604529187,2026-06-21,2026-06-23,2026-06-22,Yes - Signature,Emily Brown,"1600 Amphitheatre Pkwy, Unit 3",Mountain View,CA,94043,US,Yes,7665434528917652408,Emily Brown,emily.brown@gmail.com,+1929839316,2026-05-04,No,Suspended,32,7770.88,242.84,ORD-202601-891093,2026-01-13,0,0,0,Low,Decision Pending,
