order_id,customer_id,order_date,product_name,product_category,product_id,quantity,unit_price,order_amount,payment_method,card_last_four,payment_status,fulfillment_status,shipping_carrier,tracking_number,delivery_date,delivery_signed,customer_email,customer_city,customer_state,return_policy_days,avs_cvv_match,customer_ip
TTS-ORD-20260630-D0GJY,CUST-0329,2026-06-30,15g Nail Glue Press-On Kit,Beauty,PROD-B3,1,12.99,12.99,Visa,1647,Completed,Delivered,USPS,9400111899313214,2026-07-05,No,n***y@gmail.com,Louisville,KY,0,Fail,68.206.195.151
TTS-ORD-20260701-ZZOIL,CUST-0563,2026-07-01,Cat Tree Tower 54-inch,Toys,PROD-C26,3,59.99,179.97,Visa,5637,Refunded,Delivered,FedEx,915880910572,2026-07-04,No,j***a@icloud.com,Phoenix,AZ,30,Pass,139.137.167.92
TTS-ORD-20260624-0ATVZ,CUST-0130,2026-06-24,Oversized Canvas Tote Bag,Fashion,PROD-C10,1,14.99,14.99,Visa,5836,Failed,Delivered,USPS,9400111899312994,2026-06-29,Yes,j***h@yahoo.com,Dallas,TX,30,Pass,70.85.59.98
TTS-ORD-20260616-Q0MFT,CUST-0103,2026-06-16,Silicone Kitchen Utensil Set (12pc),Home,PROD-C27,2,24.99,49.98,Mastercard,4015,Completed,Processing,,,,,a***y@hotmail.com,Richmond,VA,30,Fail,184.246.16.135
TTS-ORD-20260605-6XATO,CUST-0162,2026-06-05,LED Desk Lamp with USB Charger,Home,PROD-A3,2,34.99,69.98,Visa,1274,Completed,Delivered,FedEx,336262463569,2026-06-12,Yes,o***a@hotmail.com,Richmond,VA,30,Pass,204.71.138.251
TTS-ORD-20260703-2C8QI,CUST-0430,2026-07-03,Cloud Slides Pillow Slippers,Fashion,PROD-C09,1,19.99,19.99,Visa,4700,Completed,Delivered,FedEx,311488350773,2026-07-10,Yes,s***h@outlook.com,Austin,TX,30,Pass,195.212.218.21
TTS-ORD-20260626-67I6Y,CUST-0673,2026-06-26,LED Desk Lamp with USB Charger,Home,PROD-A3,1,34.99,34.99,Visa,8790,Completed,Delivered,Veho,VH565906941,2026-07-01,Yes,m***l@outlook.com,Miami,FL,30,Pass,31.237.20.176
TTS-ORD-20260705-YTN02,CUST-0310,2026-07-05,Aesthetic LED Strip Lights 50ft,Home,PROD-C08,1,15.99,15.99,Mastercard,2284,Completed,Delivered,FedEx,426747958508,2026-07-09,Yes,a***y@hotmail.com,Raleigh,NC,14,Pass,210.250.89.14
TTS-ORD-20260615-2QITN,CUST-0024,2026-06-15,Portable Bluetooth Speaker,Electronics,PROD-A7,2,39.99,79.98,Mastercard,4043,Completed,Cancelled,,,,,s***h@hotmail.com,Nashville,TN,30,Pass,189.98.22.198
TTS-ORD-20260616-Q1DDP,CUST-0597,2026-06-16,Bucket Hat Reversible Cotton,Fashion,PROD-C30,1,11.99,11.99,Visa,9395,Completed,Delivered,Veho,VH440030663,2026-06-21,Yes,k***n@icloud.com,Seattle,WA,14,Pass,46.7.23.91
TTS-ORD-20260709-RCPPR,CUST-0528,2026-07-09,Cat Tree Tower 54-inch,Toys,PROD-C26,1,59.99,59.99,Visa,2260,Completed,Delivered,UPS,1Z999AA13238126936,2026-07-15,Yes,s***h@outlook.com,Miami,FL,30,Pass,84.242.64.185
TTS-ORD-20260710-EL8HL,CUST-0545,2026-07-10,Heated Blanket USB Throw,Home,PROD-C22,1,39.99,39.99,Visa,7524,Pending,Delivered,DHL,JD56652786526,2026-07-16,Yes,r***l@outlook.com,Columbus,OH,30,Pass,94.189.178.163
TTS-ORD-20260616-G1A07,CUST-0605,2026-06-16,Heated Blanket USB Throw,Home,PROD-C22,1,39.99,39.99,Mastercard,4434,Completed,Cancelled,,,,,e***y@icloud.com,San Antonio,TX,30,Pass,94.213.178.18
TTS-ORD-20260702-T75PB,CUST-0477,2026-07-02,Wireless Earbuds with Charging Case,Electronics,PROD-C17,1,27.99,27.99,Visa,6890,Completed,Delivered,Veho,VH179419456,2026-07-08,No,b***y@hotmail.com,San Jose,CA,30,Pass,172.164.235.22
TTS-ORD-20260616-DH0UY,CUST-0608,2026-06-16,Portable Bluetooth Speaker,Electronics,PROD-A7,1,39.99,39.99,Mastercard,4621,Completed,Returned,Veho,VH908186980,2026-06-21,No,j***s@icloud.com,Oklahoma City,OK,30,Pass,115.101.119.198
TTS-ORD-20260703-MM2SM,CUST-0428,2026-07-03,Gel Nail Polish Kit UV Lamp,Beauty,PROD-C28,5,32.99,164.95,Visa,2599,Completed,Cancelled,,,,,e***h@icloud.com,Jacksonville,FL,14,Pass,204.179.116.82
TTS-ORD-20260603-U8IOG,CUST-0118,2026-06-03,Espresso Machine Pro 3000,Home,PROD-A5,1,349.99,349.99,Visa,8080,Completed,Shipped,FedEx,291194737973,,,l***a@icloud.com,Seattle,WA,30,Pass,27.189.158.227
TTS-ORD-20260708-GLQJ5,CUST-0117,2026-07-08,LED Ring Light 12-inch,Electronics,PROD-C03,1,29.99,29.99,Visa,9646,Completed,Shipped,UPS,1Z999AA13479690385,,,e***y@outlook.com,Charlotte,NC,30,Pass,172.100.157.101
TTS-ORD-20260623-EKGYS,CUST-0122,2026-06-23,Gel Nail Polish Kit UV Lamp,Beauty,PROD-C28,1,32.99,32.99,Visa,7852,Completed,Shipped,DHL,JD21124688435,,,d***l@hotmail.com,New York,NY,14,Pass,55.148.99.109
TTS-ORD-20260705-RHNUX,CUST-0289,2026-07-05,Velvet Matte Lip Kit (6-pack),Beauty,PROD-C02,2,24.99,49.98,Visa,7703,Completed,Delivered,USPS,9400111899982885,2026-07-11,No,j***s@icloud.com,Tampa,FL,14,Pass,126.182.216.114
TTS-ORD-20260606-TEE13,CUST-0117,2026-06-06,Heated Blanket USB Throw,Home,PROD-C22,2,39.99,79.98,Visa,7010,Completed,Delivered,USPS,9400111899276379,2026-06-12,Yes,a***y@hotmail.com,Houston,TX,30,Pass,213.11.195.185
TTS-ORD-20260614-M3P91,CUST-0576,2026-06-14,Portable Blender USB Rechargeable,Home,PROD-C19,2,24.99,49.98,Mastercard,4882,Completed,Processing,,,,,t***s@yahoo.com,Minneapolis,MN,30,Pass,208.151.177.90
TTS-ORD-20260628-KJ49Y,CUST-0628,2026-06-28,Bucket Hat Reversible Cotton,Fashion,PROD-C30,1,11.99,11.99,Visa,2560,Completed,Delivered,USPS,9400111899658136,2026-07-03,Yes,c***r@yahoo.com,Indianapolis,IN,14,Pass,212.202.106.236
TTS-ORD-20260609-NC21O,CUST-0019,2026-06-09,65-inch 4K Smart TV,Electronics,PROD-A4,1,899.99,899.99,Visa,5558,Completed,Delivered,Veho,VH625552311,2026-06-13,Yes,m***k@outlook.com,Dallas,TX,15,Pass,136.244.125.84
TTS-ORD-20260606-RLKTE,CUST-0035,2026-06-06,Gel Nail Polish Kit UV Lamp,Beauty,PROD-C28,2,32.99,65.98,Mastercard,8951,Refunded,Shipped,Veho,VH333893106,,,s***n@outlook.com,Austin,TX,14,Fail,194.196.13.12
TTS-ORD-20260630-DMCXX,CUST-0080,2026-06-30,Portable Bluetooth Speaker,Electronics,PROD-A7,3,39.99,119.97,Visa,1848,Completed,Returned,Veho,VH317237515,2026-07-04,No,s***h@icloud.com,Indianapolis,IN,30,Pass,180.79.186.180
TTS-ORD-20260606-YRID3,CUST-0616,2026-06-06,Yoga Mat Non-Slip 6mm,Sports,PROD-C05,1,22.99,22.99,Visa,2690,Completed,Delivered,Veho,VH109971784,2026-06-09,No,m***t@outlook.com,Nashville,TN,30,Pass,114.226.77.36
TTS-ORD-20260609-WPH6F,CUST-0271,2026-06-09,Magnetic Phone Mount for Car,Electronics,PROD-C15,1,13.99,13.99,Visa,3017,Completed,Delivered,Veho,VH477084942,2026-06-13,No,m***k@hotmail.com,Oklahoma City,OK,30,Pass,206.99.90.247
TTS-ORD-20260609-4XKSS,CUST-0187,2026-06-09,Acne Patch Hydrocolloid (96ct),Beauty,PROD-C18,2,8.99,17.98,Visa,7418,Completed,Shipped,USPS,9400111899916808,,,m***y@outlook.com,Denver,CO,0,Fail,185.14.201.230
TTS-ORD-20260625-NY181,CUST-0532,2026-06-25,Stainless Steel Water Bottle 32oz,Sports,PROD-C06,1,19.99,19.99,Mastercard,1273,Completed,Returned,USPS,9400111899431845,2026-06-29,Yes,m***k@hotmail.com,Tampa,FL,30,Pass,37.4.68.56
TTS-ORD-20260604-LSH3T,CUST-0464,2026-06-04,LED Desk Lamp with USB Charger,Home,PROD-A3,1,34.99,34.99,Mastercard,7401,Completed,Delivered,Veho,VH188506190,2026-06-11,Yes,j***r@hotmail.com,Salt Lake City,UT,30,Pass,182.196.214.167
TTS-ORD-20260628-EZZF8,CUST-0100,2026-06-28,Espresso Machine Pro 3000,Home,PROD-A5,1,349.99,349.99,Visa,9568,Refunded,Delivered,DHL,JD16909882577,2026-07-03,No,b***a@hotmail.com,Seattle,WA,30,Pass,220.211.185.67
TTS-ORD-20260609-JCZUC,CUST-0631,2026-06-09,Vitamin C Brightening Serum,Beauty,PROD-C01,3,18.99,56.97,Mastercard,8457,Completed,Processing,,,,,m***t@hotmail.com,Atlanta,GA,30,Pass,112.15.128.220
TTS-ORD-20260624-7G8B2,CUST-0088,2026-06-24,Silicone Kitchen Utensil Set (12pc),Home,PROD-C27,2,24.99,49.98,Mastercard,7870,Completed,Delivered,DHL,JD14305998963,2026-06-27,Yes,a***y@yahoo.com,Houston,TX,30,Pass,102.64.107.235
TTS-ORD-20260605-1LDQN,CUST-0629,2026-06-05,Retro Polarized Sunglasses,Fashion,PROD-C11,1,12.99,12.99,Mastercard,5777,Completed,Delivered,DHL,JD18510107747,2026-06-11,Yes,c***r@hotmail.com,Dallas,TX,14,Pass,220.78.190.160
TTS-ORD-20260624-WYAM1,CUST-0155,2026-06-24,Stainless Steel Water Bottle 32oz,Sports,PROD-C06,4,19.99,79.96,Mastercard,7164,Completed,Shipped,FedEx,127530895459,,,m***w@outlook.com,Charlotte,NC,30,Pass,46.53.136.252
TTS-ORD-20260702-Q0USW,CUST-0591,2026-07-02,Stainless Steel Water Bottle 32oz,Sports,PROD-C06,2,19.99,39.98,Visa,7461,Refunded,Processing,,,,,n***y@gmail.com,Nashville,TN,30,Pass,171.146.16.112
TTS-ORD-20260619-7E1DD,CUST-0232,2026-06-19,Robot Vacuum Cleaner X500,Home,PROD-B2,1,445.5,445.5,Mastercard,8365,Completed,Shipped,USPS,9400111899574751,,,r***t@icloud.com,San Diego,CA,30,Pass,100.105.31.138
TTS-ORD-20260614-B4LDI,CUST-0117,2026-06-14,Electric Milk Frother Handheld,Home,PROD-C13,1,11.99,11.99,Mastercard,6828,Completed,Shipped,USPS,9400111899966529,,,r***l@icloud.com,Oklahoma City,OK,30,Pass,151.13.174.77
TTS-ORD-20260612-E3NWX,CUST-0677,2026-06-12,Mini Portable Projector HD,Electronics,PROD-C07,3,149.99,449.97,Mastercard,5240,Completed,Delivered,UPS,1Z999AA11600406558,2026-06-15,Yes,j***h@gmail.com,Richmond,VA,30,Pass,25.17.51.232
TTS-ORD-20260609-P0RNP,CUST-0643,2026-06-09,Portable Blender USB Rechargeable,Home,PROD-C19,2,24.99,49.98,Mastercard,6799,Completed,Cancelled,,,,,s***a@yahoo.com,Louisville,KY,30,Pass,67.71.72.115
TTS-ORD-20260710-I9TAN,CUST-0672,2026-07-10,15g Nail Glue Press-On Kit,Beauty,PROD-B3,1,12.99,12.99,Visa,6883,Completed,Delivered,UPS,1Z999AA15671728485,2026-07-16,Yes,d***y@icloud.com,Los Angeles,CA,0,Pass,159.201.125.89
TTS-ORD-20260621-3QMVI,CUST-0212,2026-06-21,Silicone Kitchen Utensil Set (12pc),Home,PROD-C27,1,24.99,24.99,Visa,3615,Completed,Processing,,,,,p***a@gmail.com,Las Vegas,NV,30,Pass,83.169.62.69
TTS-ORD-20260604-IL0MV,CUST-0242,2026-06-04,Smart Plug WiFi 4-Pack,Electronics,PROD-C25,2,22.99,45.98,Mastercard,6761,Completed,Processing,,,,,b***a@hotmail.com,Richmond,VA,30,Pass,164.37.145.243
TTS-ORD-20260702-MG25C,CUST-0102,2026-07-02,LED Ring Light 12-inch,Electronics,PROD-C03,1,29.99,29.99,Visa,3420,Completed,Delivered,UPS,1Z999AA17556046460,2026-07-05,Yes,d***d@hotmail.com,Richmond,VA,30,Pass,200.235.37.199
TTS-ORD-20260704-XG8Y7,CUST-0169,2026-07-04,Silicone Phone Case - Galaxy S24,Electronics,PROD-B1,1,14.99,14.99,Mastercard,6846,Completed,Delivered,USPS,9400111899243079,2026-07-08,No,a***y@yahoo.com,Milwaukee,WI,14,Pass,190.151.209.45
TTS-ORD-20260619-HU7F0,CUST-0172,2026-06-19,Magnetic Phone Mount for Car,Electronics,PROD-C15,2,13.99,27.98,Mastercard,4899,Refunded,Shipped,DHL,JD31613919307,,,o***a@outlook.com,Seattle,WA,30,Pass,101.43.163.227
TTS-ORD-20260622-5RNTD,CUST-0033,2026-06-22,Electric Standing Desk Frame,Home,PROD-A6,1,289.0,289.0,Visa,8855,Completed,Delivered,UPS,1Z999AA14094152811,2026-06-25,Yes,w***m@hotmail.com,Richmond,VA,30,Pass,186.195.176.58
TTS-ORD-20260605-M96ZP,CUST-0341,2026-06-05,Vitamin C Brightening Serum,Beauty,PROD-C01,1,18.99,18.99,Visa,3703,Completed,Delivered,Veho,VH272769884,2026-06-08,Yes,j***r@hotmail.com,Charlotte,NC,30,Pass,131.41.14.26
TTS-ORD-20260613-MPKXV,CUST-0159,2026-06-13,Aromatherapy Essential Oil Diffuser,Home,PROD-C12,1,27.99,27.99,Mastercard,4271,Completed,Delivered,UPS,1Z999AA15508149905,2026-06-20,Yes,p***a@gmail.com,Phoenix,AZ,30,Pass,26.53.44.164
TTS-ORD-20260701-BPJ4U,CUST-0022,2026-07-01,Cloud Slides Pillow Slippers,Fashion,PROD-C09,2,19.99,39.98,Visa,3476,Refunded,Delivered,DHL,JD33139252778,2026-07-06,No,s***n@gmail.com,Miami,FL,30,Pass,41.172.89.207
TTS-ORD-20260708-UIKO4,CUST-0553,2026-07-08,Smart Plug WiFi 4-Pack,Electronics,PROD-C25,1,22.99,22.99,Visa,1568,Completed,Cancelled,,,,,a***w@hotmail.com,Nashville,TN,30,Pass,166.231.133.205
TTS-ORD-20260710-H3FVL,CUST-0310,2026-07-10,Silicone Kitchen Utensil Set (12pc),Home,PROD-C27,3,24.99,74.97,Visa,2097,Pending,Delivered,FedEx,313925709865,2026-07-14,Yes,m***t@gmail.com,San Jose,CA,30,Pass,119.143.102.142
TTS-ORD-20260618-177UD,CUST-0505,2026-06-18,Retro Polarized Sunglasses,Fashion,PROD-C11,3,12.99,38.97,Visa,5687,Completed,Delivered,Veho,VH220816186,2026-06-24,Yes,k***n@hotmail.com,Milwaukee,WI,14,Pass,108.225.106.68
TTS-ORD-20260702-BRJNM,CUST-0580,2026-07-02,Magnetic Phone Mount for Car,Electronics,PROD-C15,1,13.99,13.99,Visa,5965,Completed,Delivered,Veho,VH141642429,2026-07-08,No,j***a@outlook.com,Indianapolis,IN,30,Pass,91.216.126.220
TTS-ORD-20260615-6ORSN,CUST-0207,2026-06-15,Portable Bluetooth Speaker,Electronics,PROD-A7,5,39.99,199.95,Mastercard,1920,Completed,Shipped,DHL,JD21362571406,,,s***n@hotmail.com,Milwaukee,WI,30,Pass,60.17.80.182
TTS-ORD-20260609-J3SWE,CUST-0014,2026-06-09,Running Shoes Lightweight Mesh,Sports,PROD-C23,1,44.99,44.99,Visa,1500,Refunded,Delivered,UPS,1Z999AA12071552532,2026-06-15,Yes,r***d@yahoo.com,Portland,OR,30,Pass,115.126.153.115
TTS-ORD-20260701-42HHI,CUST-0003,2026-07-01,Velvet Matte Lip Kit (6-pack),Beauty,PROD-C02,1,24.99,24.99,Visa,4387,Refunded,Shipped,UPS,1Z999AA12224363672,,,w***m@outlook.com,Milwaukee,WI,14,Pass,186.105.132.6
TTS-ORD-20260609-PNMJQ,CUST-0134,2026-06-09,Wireless Noise-Cancelling Headphones,Electronics,PROD-A1,2,59.99,119.98,Visa,9530,Completed,Shipped,USPS,9400111899847362,,,s***h@hotmail.com,Tampa,FL,30,Fail,121.150.27.2
TTS-ORD-20260624-GSIC4,CUST-0616,2026-06-24,Running Shoes Lightweight Mesh,Sports,PROD-C23,1,44.99,44.99,Visa,7620,Completed,Delivered,USPS,9400111899389913,2026-06-29,No,k***n@outlook.com,San Jose,CA,30,Pass,194.36.185.7
TTS-ORD-20260617-6YS44,CUST-0231,2026-06-17,Heated Blanket USB Throw,Home,PROD-C22,1,39.99,39.99,Visa,3967,Completed,Delivered,FedEx,896042841008,2026-06-21,No,a***w@outlook.com,Seattle,WA,30,Pass,44.121.33.190
TTS-ORD-20260706-4Q5V7,CUST-0202,2026-07-06,Mini Portable Projector HD,Electronics,PROD-C07,3,149.99,449.97,Mastercard,2166,Completed,Delivered,USPS,9400111899540897,2026-07-11,Yes,s***a@icloud.com,Memphis,TN,30,Pass,69.129.31.223
TTS-ORD-20260620-RWGWA,CUST-0272,2026-06-20,Magnetic Phone Mount for Car,Electronics,PROD-C15,3,13.99,41.97,Visa,5481,Failed,Delivered,DHL,JD74367168442,2026-06-24,Yes,j***r@yahoo.com,Las Vegas,NV,30,Pass,214.199.44.148
TTS-ORD-20260606-1TAA0,CUST-0655,2026-06-06,Vitamin C Brightening Serum,Beauty,PROD-C01,1,18.99,18.99,Visa,4707,Completed,Delivered,UPS,1Z999AA19751963589,2026-06-10,No,d***l@outlook.com,Tampa,FL,30,Fail,99.34.27.99
TTS-ORD-20260620-M6MG8,CUST-0475,2026-06-20,Running Shoes Lightweight Mesh,Sports,PROD-C23,2,44.99,89.98,Visa,7609,Completed,Shipped,DHL,JD55200741117,,,d***d@gmail.com,San Antonio,TX,30,Pass,78.58.187.253
TTS-ORD-20260602-XXAYP,CUST-0451,2026-06-02,Robot Vacuum Cleaner X500,Home,PROD-B2,1,445.5,445.5,Visa,7230,Completed,Delivered,USPS,9400111899908713,2026-06-09,No,p***a@gmail.com,Phoenix,AZ,30,Pass,160.65.122.180
TTS-ORD-20260601-2RV23,CUST-0407,2026-06-01,15g Nail Glue Press-On Kit,Beauty,PROD-B3,2,12.99,25.98,Mastercard,4304,Completed,Delivered,FedEx,215528701496,2026-06-08,No,l***a@outlook.com,Phoenix,AZ,0,Pass,200.105.76.42
TTS-ORD-20260702-0DJI9,CUST-0284,2026-07-02,LED Desk Lamp with USB Charger,Home,PROD-A3,3,34.99,104.97,Visa,5850,Completed,Delivered,UPS,1Z999AA18168394616,2026-07-06,No,r***t@outlook.com,Minneapolis,MN,30,Pass,138.13.26.209
TTS-ORD-20260603-J0NME,CUST-0299,2026-06-03,Velvet Matte Lip Kit (6-pack),Beauty,PROD-C02,2,24.99,49.98,Visa,7557,Completed,Delivered,UPS,1Z999AA13779696951,2026-06-08,Yes,o***a@icloud.com,Milwaukee,WI,14,Pass,89.214.99.177
TTS-ORD-20260627-GNMBY,CUST-0186,2026-06-27,Ice Roller for Face & Eyes,Beauty,PROD-C21,2,7.99,15.98,Visa,3140,Completed,Delivered,FedEx,555711977788,2026-07-04,Yes,s***n@icloud.com,Louisville,KY,0,Pass,144.29.228.106
TTS-ORD-20260605-SYWP0,CUST-0031,2026-06-05,Portable Blender USB Rechargeable,Home,PROD-C19,1,24.99,24.99,Mastercard,8895,Completed,Shipped,DHL,JD90417995014,,,l***a@outlook.com,Los Angeles,CA,30,Pass,189.174.165.99
TTS-ORD-20260706-LLKST,CUST-0325,2026-07-06,15g Nail Glue Press-On Kit,Beauty,PROD-B3,1,12.99,12.99,Mastercard,7203,Refunded,Processing,,,,,a***y@icloud.com,Richmond,VA,0,Pass,80.21.118.114
TTS-ORD-20260606-6UXQM,CUST-0699,2026-06-06,Silicone Kitchen Utensil Set (12pc),Home,PROD-C27,1,24.99,24.99,Visa,1889,Completed,Delivered,DHL,JD12358361363,2026-06-09,No,k***n@yahoo.com,Charlotte,NC,30,Fail,136.85.144.197
TTS-ORD-20260701-BFFZZ,CUST-0060,2026-07-01,Bucket Hat Reversible Cotton,Fashion,PROD-C30,1,11.99,11.99,Visa,2752,Completed,Delivered,UPS,1Z999AA16761084958,2026-07-06,Yes,m***l@outlook.com,Columbus,OH,14,Pass,176.51.49.31
TTS-ORD-20260630-8A0TP,CUST-0583,2026-06-30,Hair Straightener Brush 2-in-1,Beauty,PROD-C16,1,34.99,34.99,Mastercard,8912,Completed,Delivered,DHL,JD73959597937,2026-07-06,No,d***d@hotmail.com,Phoenix,AZ,30,Fail,219.236.234.46
TTS-ORD-20260609-61J88,CUST-0545,2026-06-09,Gel Nail Polish Kit UV Lamp,Beauty,PROD-C28,2,32.99,65.98,Mastercard,8419,Completed,Processing,,,,,r***l@yahoo.com,Houston,TX,14,Pass,55.106.155.180
TTS-ORD-20260706-SYLEM,CUST-0099,2026-07-06,Running Shoes Lightweight Mesh,Sports,PROD-C23,2,44.99,89.98,Mastercard,8870,Completed,Delivered,USPS,9400111899819964,2026-07-11,No,b***a@hotmail.com,Seattle,WA,30,Pass,166.242.171.182
TTS-ORD-20260705-9YFC2,CUST-0317,2026-07-05,Wireless Earbuds with Charging Case,Electronics,PROD-C17,2,27.99,55.98,Mastercard,4342,Completed,Delivered,FedEx,834667320053,2026-07-08,Yes,w***m@hotmail.com,San Jose,CA,30,Pass,28.92.209.116
TTS-ORD-20260706-N89LT,CUST-0642,2026-07-06,Portable Bluetooth Speaker,Electronics,PROD-A7,2,39.99,79.98,Visa,1212,Completed,Shipped,USPS,9400111899826596,,,a***y@outlook.com,Columbus,OH,30,Pass,71.159.223.200
